year,round,session,status,laps,drivers,error
2020,16,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2020,16,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2020,16,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2020,17,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2020,17,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2020,17,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,0,FP1,FAIL,0,0,ValueError: Cannot get testing event by round number!
2022,0,FP2,FAIL,0,0,ValueError: Cannot get testing event by round number!
2022,0,FP3,FAIL,0,0,ValueError: Cannot get testing event by round number!
2022,0,FP1,FAIL,0,0,ValueError: Cannot get testing event by round number!
2022,0,FP2,FAIL,0,0,ValueError: Cannot get testing event by round number!
2022,0,FP3,FAIL,0,0,ValueError: Cannot get testing event by round number!
2022,1,FP1,OK,387,20,
2022,1,FP2,OK,475,20,
2022,1,FP3,OK,324,19,
2022,2,FP1,OK,439,20,
2022,2,FP2,OK,478,20,
2022,2,FP3,OK,341,20,
2022,3,FP1,OK,453,20,
2022,3,FP2,OK,469,19,
2022,3,FP3,OK,285,20,
2022,4,FP1,OK,380,20,
2022,4,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,4,FP3,FAIL,0,0,ValueError: Session type 'FP3' does not exist for this event
2022,5,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,5,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,5,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,6,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,6,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,6,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,7,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,7,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,7,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,8,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,8,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,8,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,9,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,9,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,9,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,10,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,10,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,10,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,11,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,11,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,11,FP3,FAIL,0,0,ValueError: Session type 'FP3' does not exist for this event
2022,12,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,12,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,12,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,13,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,13,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,13,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,14,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,14,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,14,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,15,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,15,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,15,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,16,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,16,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,16,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,17,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,17,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,17,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,18,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,18,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,18,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,19,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,19,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,19,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,20,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,20,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,20,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,21,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,21,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,21,FP3,FAIL,0,0,ValueError: Session type 'FP3' does not exist for this event
2022,22,FP1,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,22,FP2,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
2022,22,FP3,FAIL,0,0,DataNotLoadedError: The data you are trying to access has not been loaded yet. See `Session.load`
