Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,year
0 days 00:24:42.340000,ALO,14,0 days 00:01:39.474000,2.0,1.0,,,0 days 00:00:27.175000,0 days 00:00:38.318000,0 days 00:00:33.981000,0 days 00:23:30.041000,0 days 00:24:08.359000,0 days 00:24:42.340000,308.0,271.0,258.0,300.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:23:02.866000,2018-09-15 13:08:02.917,1,,False,,False,True,2018
0 days 00:33:39.668000,ALO,14,0 days 00:01:39.022000,5.0,2.0,,,0 days 00:00:27.112000,0 days 00:00:38.139000,0 days 00:00:33.771000,0 days 00:32:27.758000,0 days 00:33:05.897000,0 days 00:33:39.668000,308.0,271.0,260.0,299.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:32:00.646000,2018-09-15 13:17:00.697,1,,False,,False,True,2018
0 days 00:55:39.153000,ALO,14,0 days 00:01:38.641000,11.0,4.0,,,0 days 00:00:26.840000,0 days 00:00:38.065000,0 days 00:00:33.736000,0 days 00:54:27.352000,0 days 00:55:05.417000,0 days 00:55:39.153000,309.0,272.0,260.0,301.0,True,HYPERSOFT,2.0,True,McLaren,0 days 00:54:00.512000,2018-09-15 13:39:00.563,1,,False,,False,True,2018
0 days 00:25:22.139000,SAI,55,0 days 00:01:39.401000,2.0,1.0,,,0 days 00:00:27.270000,0 days 00:00:38.180000,0 days 00:00:33.951000,0 days 00:24:10.008000,0 days 00:24:48.188000,0 days 00:25:22.139000,307.0,273.0,259.0,300.0,True,HYPERSOFT,2.0,True,Renault,0 days 00:23:42.738000,2018-09-15 13:08:42.789,1,,False,,False,True,2018
0 days 00:34:19.700000,SAI,55,0 days 00:01:39.103000,5.0,2.0,,,0 days 00:00:27.122000,0 days 00:00:38.277000,0 days 00:00:33.704000,0 days 00:33:07.719000,0 days 00:33:45.996000,0 days 00:34:19.700000,307.0,273.0,261.0,298.0,True,HYPERSOFT,2.0,True,Renault,0 days 00:32:40.597000,2018-09-15 13:17:40.648,12,,False,,False,True,2018
0 days 00:46:46.801000,SAI,55,0 days 00:01:38.716000,8.0,3.0,,,0 days 00:00:27.030000,0 days 00:00:37.835000,0 days 00:00:33.851000,0 days 00:45:35.115000,0 days 00:46:12.950000,0 days 00:46:46.801000,307.0,273.0,261.0,298.0,True,HYPERSOFT,2.0,True,Renault,0 days 00:45:08.085000,2018-09-15 13:30:08.136,1,,False,,False,True,2018
0 days 00:56:15.960000,SAI,55,0 days 00:01:39.018000,11.0,4.0,,,0 days 00:00:27.134000,0 days 00:00:38.055000,0 days 00:00:33.829000,0 days 00:55:04.076000,0 days 00:55:42.131000,0 days 00:56:15.960000,307.0,273.0,260.0,298.0,False,HYPERSOFT,2.0,True,Renault,0 days 00:54:36.942000,2018-09-15 13:39:36.993,1,,False,,False,True,2018
0 days 00:19:56.310000,LEC,16,0 days 00:01:39.764000,2.0,1.0,,,0 days 00:00:27.299000,0 days 00:00:38.397000,0 days 00:00:34.068000,0 days 00:18:43.845000,0 days 00:19:22.242000,0 days 00:19:56.310000,311.0,275.0,258.0,301.0,True,HYPERSOFT,1.0,True,Sauber,0 days 00:18:16.546000,2018-09-15 13:03:16.597,1,,False,,False,True,2018
0 days 00:24:25.477000,LEC,16,0 days 00:01:40.686000,4.0,1.0,,,0 days 00:00:27.217000,0 days 00:00:39.036000,0 days 00:00:34.433000,0 days 00:23:12.008000,0 days 00:23:51.044000,0 days 00:24:25.477000,315.0,277.0,255.0,305.0,False,HYPERSOFT,3.0,True,Sauber,0 days 00:22:44.791000,2018-09-15 13:07:44.842,1,,False,,False,True,2018
0 days 00:33:25.148000,LEC,16,0 days 00:01:39.206000,7.0,2.0,,,0 days 00:00:26.940000,0 days 00:00:38.151000,0 days 00:00:34.115000,0 days 00:32:12.882000,0 days 00:32:51.033000,0 days 00:33:25.148000,315.0,277.0,258.0,303.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:31:45.942000,2018-09-15 13:16:45.993,1,,False,,False,True,2018
0 days 00:46:33.352000,LEC,16,0 days 00:01:39.375000,10.0,3.0,,,0 days 00:00:27.194000,0 days 00:00:38.244000,0 days 00:00:33.937000,0 days 00:45:21.171000,0 days 00:45:59.415000,0 days 00:46:33.352000,313.0,277.0,259.0,300.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:44:53.977000,2018-09-15 13:29:54.028,1,,False,,False,True,2018
0 days 00:55:27.328000,LEC,16,0 days 00:01:38.747000,13.0,4.0,,,0 days 00:00:27.019000,0 days 00:00:37.873000,0 days 00:00:33.855000,0 days 00:54:15.600000,0 days 00:54:53.473000,0 days 00:55:27.328000,312.0,276.0,260.0,304.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:53:48.581000,2018-09-15 13:38:48.632,1,,False,,False,True,2018
0 days 00:20:12.106000,ERI,9,0 days 00:01:40.356000,2.0,1.0,,,0 days 00:00:27.240000,0 days 00:00:38.494000,0 days 00:00:34.622000,0 days 00:18:58.990000,0 days 00:19:37.484000,0 days 00:20:12.106000,310.0,274.0,256.0,299.0,True,HYPERSOFT,1.0,True,Sauber,0 days 00:18:31.750000,2018-09-15 13:03:31.801,1,,False,,False,True,2018
0 days 00:24:36.764000,ERI,9,0 days 00:01:40.392000,4.0,1.0,,,0 days 00:00:27.241000,0 days 00:00:38.702000,0 days 00:00:34.449000,0 days 00:23:23.613000,0 days 00:24:02.315000,0 days 00:24:36.764000,312.0,275.0,257.0,302.0,False,HYPERSOFT,3.0,True,Sauber,0 days 00:22:56.372000,2018-09-15 13:07:56.423,1,,False,,False,True,2018
0 days 00:33:56.789000,ERI,9,0 days 00:01:39.366000,7.0,2.0,,,0 days 00:00:27.077000,0 days 00:00:38.141000,0 days 00:00:34.148000,0 days 00:32:44.500000,0 days 00:33:22.641000,0 days 00:33:56.789000,312.0,275.0,257.0,302.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:32:17.423000,2018-09-15 13:17:17.474,12,,False,,False,True,2018
0 days 00:46:42.893000,ERI,9,0 days 00:01:39.460000,10.0,3.0,,,0 days 00:00:26.969000,0 days 00:00:38.343000,0 days 00:00:34.148000,0 days 00:45:30.402000,0 days 00:46:08.745000,0 days 00:46:42.893000,314.0,275.0,258.0,304.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:45:03.433000,2018-09-15 13:30:03.484,1,,False,,False,True,2018
0 days 00:56:11.029000,ERI,9,0 days 00:01:39.453000,13.0,4.0,,,0 days 00:00:27.025000,0 days 00:00:38.172000,0 days 00:00:34.256000,0 days 00:54:58.601000,0 days 00:55:36.773000,0 days 00:56:11.029000,313.0,277.0,259.0,302.0,True,HYPERSOFT,2.0,True,Sauber,0 days 00:54:31.576000,2018-09-15 13:39:31.627,1,,False,,False,True,2018
0 days 00:20:54.908000,GAS,10,0 days 00:01:40.025000,2.0,1.0,,,0 days 00:00:27.442000,0 days 00:00:38.445000,0 days 00:00:34.138000,0 days 00:19:42.325000,0 days 00:20:20.770000,0 days 00:20:54.908000,304.0,268.0,254.0,295.0,True,HYPERSOFT,1.0,True,Toro Rosso,0 days 00:19:14.883000,2018-09-15 13:04:14.934,1,,False,,False,True,2018
0 days 00:23:22.300000,GAS,10,0 days 00:02:27.392000,3.0,1.0,,,0 days 00:00:39.141000,0 days 00:00:56.901000,0 days 00:00:51.350000,0 days 00:21:34.049000,0 days 00:22:30.950000,0 days 00:23:22.300000,261.0,238.0,252.0,280.0,False,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:20:54.908000,2018-09-15 13:05:54.959,1,,False,,False,True,2018
0 days 00:33:20.919000,GAS,10,0 days 00:01:39.614000,6.0,2.0,,,0 days 00:00:27.253000,0 days 00:00:38.280000,0 days 00:00:34.081000,0 days 00:32:08.558000,0 days 00:32:46.838000,0 days 00:33:20.919000,305.0,267.0,255.0,296.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:31:41.305000,2018-09-15 13:16:41.356,1,,False,,False,True,2018
0 days 00:46:28.400000,GAS,10,0 days 00:01:39.876000,9.0,3.0,,,0 days 00:00:27.121000,0 days 00:00:38.458000,0 days 00:00:34.297000,0 days 00:45:15.645000,0 days 00:45:54.103000,0 days 00:46:28.400000,308.0,270.0,248.0,298.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:44:48.524000,2018-09-15 13:29:48.575,1,,False,,False,True,2018
0 days 00:56:20.989000,GAS,10,0 days 00:01:39.691000,12.0,4.0,,,0 days 00:00:27.268000,0 days 00:00:38.374000,0 days 00:00:34.049000,0 days 00:55:08.566000,0 days 00:55:46.940000,0 days 00:56:20.989000,309.0,271.0,254.0,297.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:54:41.298000,2018-09-15 13:39:41.349,1,,False,,False,True,2018
0 days 00:19:39.136000,MAG,20,0 days 00:01:39.817000,2.0,1.0,,,0 days 00:00:27.136000,0 days 00:00:38.402000,0 days 00:00:34.279000,0 days 00:18:26.455000,0 days 00:19:04.857000,0 days 00:19:39.136000,309.0,273.0,254.0,301.0,True,HYPERSOFT,1.0,True,Haas F1 Team,0 days 00:17:59.319000,2018-09-15 13:02:59.370,1,,False,,False,True,2018
0 days 00:29:51.255000,MAG,20,0 days 00:01:39.644000,5.0,2.0,,,0 days 00:00:27.216000,0 days 00:00:38.369000,0 days 00:00:34.059000,0 days 00:28:38.827000,0 days 00:29:17.196000,0 days 00:29:51.255000,308.0,273.0,257.0,301.0,True,HYPERSOFT,2.0,True,Haas F1 Team,0 days 00:28:11.611000,2018-09-15 13:13:11.662,1,,False,,False,True,2018
0 days 00:21:07.329000,HAR,28,0 days 00:01:41.026000,2.0,1.0,,,0 days 00:00:27.492000,0 days 00:00:38.866000,0 days 00:00:34.668000,0 days 00:19:53.795000,0 days 00:20:32.661000,0 days 00:21:07.329000,308.0,271.0,255.0,301.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:19:26.303000,2018-09-15 13:04:26.354,1,,False,,False,True,2018
0 days 00:23:32.466000,HAR,28,0 days 00:02:25.137000,3.0,1.0,,,0 days 00:00:35.218000,0 days 00:00:51.304000,0 days 00:00:58.615000,0 days 00:21:42.547000,0 days 00:22:33.851000,0 days 00:23:32.466000,264.0,239.0,252.0,278.0,False,HYPERSOFT,3.0,True,Toro Rosso,0 days 00:21:07.329000,2018-09-15 13:06:07.380,1,,False,,False,True,2018
0 days 00:25:12.831000,HAR,28,0 days 00:01:40.365000,4.0,1.0,,,0 days 00:00:27.536000,0 days 00:00:38.521000,0 days 00:00:34.308000,0 days 00:24:00.002000,0 days 00:24:38.523000,0 days 00:25:12.831000,306.0,268.0,253.0,297.0,True,HYPERSOFT,4.0,True,Toro Rosso,0 days 00:23:32.466000,2018-09-15 13:08:32.517,1,,False,,False,True,2018
0 days 00:33:47.355000,HAR,28,0 days 00:01:39.809000,7.0,2.0,,,0 days 00:00:27.324000,0 days 00:00:38.400000,0 days 00:00:34.085000,0 days 00:32:34.870000,0 days 00:33:13.270000,0 days 00:33:47.355000,305.0,266.0,254.0,298.0,True,HYPERSOFT,2.0,True,Toro Rosso,0 days 00:32:07.546000,2018-09-15 13:17:07.597,12,,False,,False,True,2018
